genre,family,top_positive_features,top_negative_features,expected_match_count,verdict,note
adventure,narrative,future-simple-indicative-active,past-simple-indicative-passive;present-simple-indicative-active;present-perfect-indicative-active,1,mixed,Narrative prose should lean on past tense and active narration; future/simple present should be weaker.
belles_lettres,expository,present-simple-indicative-active;past-perfect-indicative-active;present-perfect-indicative-active,future-simple-indicative-active;OTHER_TAMV;present-simple-imperative-active,2,aligned,"Expository/essayistic prose should still show present tense, perfect aspect, and some passive use."
editorial,expository,OTHER_TAMV;present-simple-indicative-active;present-perfect-indicative-active,past-simple-indicative-active;past-simple-conditional-active;present-simple-indicative-passive,2,aligned,Editorial prose is expository and should resemble news prose with strong present/perfect and passive cues.
fiction,narrative,past-perfect-indicative-active;present-simple-imperative-active;past-simple-conditional-active,present-simple-indicative-active;past-simple-indicative-passive;present-simple-conditional-active,1,mixed,"Narrative prose should lean on past tense and past perfect, with present simple disfavored."
government,expository,past-simple-indicative-passive;present-simple-indicative-passive;present-simple-indicative-active,past-perfect-indicative-active,3,aligned,Government documents are formal expository prose and should favor present/past passive and present simple informational framing.
hobbies,instructional,past-simple-indicative-passive;present-simple-indicative-passive;present-simple-imperative-active,past-perfect-indicative-active;OTHER_TAMV;present-simple-subjunctive-active,1,weak,"Instructional prose should retain present tense and imperatives, with some passive/framing choices."
humor,mixed,past-perfect-indicative-active;past-simple-conditional-active;present-simple-indicative-passive,present-perfect-indicative-active;present-simple-indicative-active;past-simple-indicative-active,1,weak,"Humor is stylistically mixed, so alignment should be treated cautiously."
learned,expository,past-simple-indicative-passive;present-simple-indicative-active;present-simple-indicative-passive,present-simple-imperative-active;present-perfect-indicative-active;past-simple-indicative-active,3,aligned,"Academic prose should favor present tense, perfect aspect, and passives."
lore,expository,past-simple-indicative-passive;present-simple-indicative-passive;present-simple-indicative-active,present-simple-subjunctive-active;OTHER_TAMV;future-simple-indicative-active,3,aligned,"Informational prose should lean toward present tense and passive framing, with some perfect aspect."
mystery,narrative,present-simple-imperative-active;OTHER_TAMV;past-perfect-indicative-active,present-simple-indicative-active;past-simple-indicative-passive;present-simple-indicative-passive,1,mixed,Narrative prose should lean on past tense and active narration.
news,expository,past-simple-indicative-active;future-simple-indicative-active;OTHER_TAMV,past-perfect-indicative-active;present-simple-imperative-active;present-simple-indicative-passive,1,mixed,"Public expository prose should surface perfect aspect, passive voice, and past/simple informational framing."
religion,expository,present-simple-indicative-active;present-perfect-indicative-active;past-simple-conditional-active,future-simple-indicative-active;past-simple-indicative-active;past-perfect-indicative-active,2,aligned,"Expository/sermon-like prose should lean on present tense, imperatives, and some passive framing."
reviews,expository,present-simple-indicative-active;past-simple-indicative-active;OTHER_TAMV,past-perfect-indicative-active;present-simple-subjunctive-active;future-simple-indicative-active,2,aligned,Reviews should keep strong present tense and evaluative present/perfect usage.
romance,narrative,future-simple-indicative-active;past-perfect-indicative-active;present-simple-subjunctive-active,past-simple-indicative-passive;present-simple-indicative-active;present-simple-indicative-passive,2,aligned,Narrative prose should lean on past/past perfect framing and avoid present simple dominance.
science_fiction,narrative,present-simple-subjunctive-active;OTHER_TAMV;present-simple-imperative-active,present-simple-conditional-active;present-simple-indicative-active;present-simple-indicative-passive,0,mixed,"Narrative prose can add future/modal framing, but still should avoid present simple dominance."
