conversation_id	label	label_binary	num_turns	num_toxicity_scored_utterances	max_toxicity	mean_toxicity	has_toxicity_scores	split
101988830.174339.174339	civil	0	8	0	0.0	0.0	False	dev
102857409.67168.67168	civil	0	9	0	0.0	0.0	False	dev
103044830.207.207	derailed	1	7	0	0.0	0.0	False	dev
103587368.2010.2010	civil	0	5	5	0.049826300583659305	0.018742989310915427	True	dev
104033285.691.691	derailed	1	7	7	0.769447467650093	0.22087240475264672	True	dev
10413611.96462.96462	civil	0	7	0	0.0	0.0	False	dev
10414252.98811.98811	derailed	1	7	0	0.0	0.0	False	dev
104884181.36843.36843	civil	0	6	0	0.0	0.0	False	dev
104887604.5394.5394	civil	0	5	5	0.04520407123790862	0.028483973139350784	True	dev
10637415.35440.35440	civil	0	9	0	0.0	0.0	False	dev
107047394.5221.5221	civil	0	4	4	0.02628503	0.015043907499999998	True	dev
107174613.31450.31450	derailed	1	10	0	0.0	0.0	False	dev
108254711.66560.66560	derailed	1	6	6	0.61162835	0.13723285466666668	True	dev
109195877.11310.11310	civil	0	8	8	0.057183463	0.026220272875000006	True	dev
109512129.17929.17838	civil	0	6	0	0.0	0.0	False	dev
110963287.57675.57675	civil	0	6	0	0.0	0.0	False	dev
113637694.52.52	derailed	1	9	0	0.0	0.0	False	dev
115486269.9877.9877	derailed	1	7	0	0.0	0.0	False	dev
116605439.14054.14054	derailed	1	6	6	0.7009271	0.20957789216666667	True	dev
118981586.17906.17499	derailed	1	7	0	0.0	0.0	False	dev
119870947.14802.14802	derailed	1	9	0	0.0	0.0	False	dev
120995731.84245.84245	derailed	1	11	0	0.0	0.0	False	dev
121420264.7209.7209	civil	0	6	0	0.0	0.0	False	dev
121589754.2688.2688	derailed	1	3	3	0.8401266085833872	0.422449203436428	True	dev
12310624.80526.80526	derailed	1	8	0	0.0	0.0	False	dev
123248299.5408.5408	derailed	1	6	6	0.0	0.0	True	dev
124113023.188154.188154	civil	0	6	0	0.0	0.0	False	dev
124154930.215277.215211	derailed	1	10	0	0.0	0.0	False	dev
12555064.2026.2026	derailed	1	4	4	0.6758774999999999	0.2575657375	True	dev
126409669.13907.13907	derailed	1	7	0	0.0	0.0	False	dev
127497976.8167.8167	civil	0	6	0	0.0	0.0	False	dev
12839910.39333.39333	civil	0	9	0	0.0	0.0	False	dev
12849936.3317.3317	derailed	1	6	0	0.0	0.0	False	dev
128836290.41741.41741	derailed	1	10	0	0.0	0.0	False	dev
129882965.49291.49291	civil	0	7	0	0.0	0.0	False	dev
130142184.21.21	derailed	1	9	0	0.0	0.0	False	dev
131025431.83400.83415	civil	0	8	0	0.0	0.0	False	dev
131373413.24835.24835	derailed	1	5	5	0.8740955325411166	0.2813763318466932	True	dev
133814486.1212.1212	civil	0	7	0	0.0	0.0	False	dev
134118434.238221.238221	derailed	1	6	0	0.0	0.0	False	dev
134180909.1601.1601	civil	0	6	6	0.1268757	0.05088507866666667	True	dev
135170068.53068.53068	civil	0	7	0	0.0	0.0	False	dev
13533876.64395.64395	derailed	1	10	0	0.0	0.0	False	dev
136660409.4608.4608	derailed	1	8	8	0.6771105	0.1764070735	True	dev
140681796.722.722	civil	0	5	5	0.2843288	0.10422657099999999	True	dev
141912964.35.35	civil	0	9	0	0.0	0.0	False	dev
143237548.53.53	civil	0	7	0	0.0	0.0	False	dev
143409377.102778.102778	civil	0	8	0	0.0	0.0	False	dev
14373957.12233.12233	derailed	1	11	0	0.0	0.0	False	dev
146015916.4310.4310	civil	0	4	4	0.237544090854	0.09806623002228809	True	dev
148422557.5277.5277	civil	0	5	5	0.15606580491695266	0.05891461415293111	True	dev
148898478.6485.6485	derailed	1	6	0	0.0	0.0	False	dev
14969685.9097.9097	derailed	1	4	4	0.7009271	0.25420779450000003	True	dev
151382300.115875.115842	civil	0	6	0	0.0	0.0	False	dev
152213422.465.0	civil	0	4	4	0.3579902	0.1602754475	True	dev
153999042.1460.1460	derailed	1	9	0	0.0	0.0	False	dev
154240847.8180.8180	civil	0	8	0	0.0	0.0	False	dev
15454148.108.108	civil	0	4	4	0.14592572	0.074112495	True	dev
154690019.11951.11951	derailed	1	6	0	0.0	0.0	False	dev
155594817.14064.14064	derailed	1	5	5	0.97207886	0.26658422719999997	True	dev
156944104.241877.241877	civil	0	6	0	0.0	0.0	False	dev
15832773.3019.3019	derailed	1	5	5	0.9018962	0.2360107018	True	dev
15835089.3408.3408	civil	0	6	6	0.13660164	0.08874220433333334	True	dev
161024819.5349.5349	derailed	1	6	6	0.876137641081	0.26593661349024605	True	dev
163003106.19300.19300	derailed	1	10	0	0.0	0.0	False	dev
164804684.22729.22729	derailed	1	7	0	0.0	0.0	False	dev
166882643.4224.4224	derailed	1	4	4	0.7758741258740001	0.24277174046064381	True	dev
169038966.37414.37414	derailed	1	7	0	0.0	0.0	False	dev
169405937.9516.9152	civil	0	10	0	0.0	0.0	False	dev
170428607.129367.129367	derailed	1	10	0	0.0	0.0	False	dev
171453628.1091.1091	derailed	1	5	5	0.64452356	0.18187016169999998	True	dev
171740252.107007.107007	civil	0	6	0	0.0	0.0	False	dev
172304054.82025.82025	civil	0	8	0	0.0	0.0	False	dev
172503003.33484.33484	derailed	1	7	0	0.0	0.0	False	dev
172613388.99154.99154	derailed	1	8	0	0.0	0.0	False	dev
173254537.1759.1759	civil	0	5	5	0.3831514419321675	0.17754610887951316	True	dev
174491338.28390.28390	civil	0	4	4	0.08292005	0.03874359525	True	dev
176567566.14408.14408	derailed	1	7	7	0.644523548297	0.1431551106178053	True	dev
17742281.3575.3575	civil	0	10	0	0.0	0.0	False	dev
177752278.324.324	civil	0	4	4	0.3030268	0.20992927	True	dev
17826923.218935.218935	civil	0	8	0	0.0	0.0	False	dev
17873587.67449.67449	derailed	1	8	0	0.0	0.0	False	dev
181560238.7099.7099	civil	0	7	0	0.0	0.0	False	dev
182681667.10897.10897	civil	0	4	4	0.291697	0.09891980774999999	True	dev
183506545.51382.51382	derailed	1	6	0	0.0	0.0	False	dev
18396841.5729.5729	derailed	1	8	8	0.60783094	0.2029757035	True	dev
184445114.1058.1058	derailed	1	5	5	0.9027101	0.2194285928	True	dev
184636850.204870.204870	derailed	1	8	0	0.0	0.0	False	dev
187452023.186350.186350	derailed	1	11	0	0.0	0.0	False	dev
188355409.14175.14175	derailed	1	5	5	0.9296134803658472	0.2774796078138169	True	dev
188854330.5411.5411	civil	0	4	4	0.11413664	0.03701356375	True	dev
18931263.83553.83553	derailed	1	6	0	0.0	0.0	False	dev
190088737.3985.4184	civil	0	7	0	0.0	0.0	False	dev
19183186.15607.15607	derailed	1	6	0	0.0	0.0	False	dev
191944517.8419.8419	derailed	1	5	5	0.61692727	0.16857546920000002	True	dev
192080482.18556.18556	civil	0	12	12	0.16822283	0.06471417591666667	True	dev
193641946.19885.19885	civil	0	6	6	0.096090436	0.03143974116666667	True	dev
193649667.12093.12093	derailed	1	4	4	0.0	0.0	True	dev
19443799.41758.41758	derailed	1	9	0	0.0	0.0	False	dev
194547346.9908.9908	civil	0	7	0	0.0	0.0	False	dev
194696289.31709.31709	derailed	1	7	0	0.0	0.0	False	dev
194953393.144648.144648	civil	0	6	0	0.0	0.0	False	dev
195353398.24272.23337	derailed	1	5	5	0.64452356	0.24206105120000002	True	dev
19594450.664.739	derailed	1	10	0	0.0	0.0	False	dev
195996613.1445.1445	civil	0	6	6	0.23754409	0.09253393750000001	True	dev
196310789.19335.19335	derailed	1	4	4	0.7842068393584721	0.25692054581984103	True	dev
19978980.12383.12383	civil	0	7	0	0.0	0.0	False	dev
200053269.20798.20798	civil	0	4	4	0.1961207	0.104975046	True	dev
200094653.158781.158781	derailed	1	7	0	0.0	0.0	False	dev
200248222.21224.21224	derailed	1	6	6	0.6197921	0.18703063416666665	True	dev
200634239.56463.56463	derailed	1	11	0	0.0	0.0	False	dev
20104457.739.739	derailed	1	3	3	0.7334881636732506	0.28494661225500095	True	dev
202505782.34992.34992	civil	0	6	0	0.0	0.0	False	dev
20271204.1661.1661	derailed	1	6	0	0.0	0.0	False	dev
20580006.15379.15379	derailed	1	5	5	0.8408872	0.22816857200000001	True	dev
206795682.49712.49712	derailed	1	9	0	0.0	0.0	False	dev
209307971.88363.88363	civil	0	11	0	0.0	0.0	False	dev
209529096.12127.12127	derailed	1	6	6	0.64452356	0.20971690166666668	True	dev
21009169.75081.75081	derailed	1	7	0	0.0	0.0	False	dev
212048079.9900.9900	derailed	1	9	0	0.0	0.0	False	dev
212833593.124076.124076	derailed	1	10	0	0.0	0.0	False	dev
212870395.24324.24324	civil	0	6	0	0.0	0.0	False	dev
213054683.78816.78816	civil	0	9	9	0.12731014	0.04551709088888889	True	dev
213835004.19657.19137	civil	0	8	0	0.0	0.0	False	dev
215798673.8775.8775	civil	0	5	5	0.3889421	0.137864702	True	dev
216690978.0.0	derailed	1	5	5	0.89369744	0.22296179	True	dev
217350683.16260.16260	derailed	1	9	0	0.0	0.0	False	dev
218804469.142073.142073	civil	0	9	0	0.0	0.0	False	dev
219174365.27632.27632	derailed	1	11	11	0.7009271	0.13915106254545456	True	dev
21930487.11396.11396	derailed	1	6	6	0.64452356	0.15343950066666667	True	dev
219684079.749.0	civil	0	7	0	0.0	0.0	False	dev
220449412.1917.1921	civil	0	6	0	0.0	0.0	False	dev
22046342.26486.26486	derailed	1	6	0	0.0	0.0	False	dev
220732800.2931.2931	civil	0	4	4	0.13039711	0.0859592125	True	dev
222987629.624410.624410	derailed	1	11	0	0.0	0.0	False	dev
224551679.4053.4053	derailed	1	10	10	0.64452356	0.16996822150000002	True	dev
2247733.0.0	civil	0	8	0	0.0	0.0	False	dev
225070854.920.920	derailed	1	10	10	0.7100943000000001	0.16193377680000004	True	dev
225650560.137.137	civil	0	6	0	0.0	0.0	False	dev
226934135.3374.3374	civil	0	4	4	0.15032197899823016	0.1005136363459464	True	dev
229718577.108421.108421	derailed	1	10	0	0.0	0.0	False	dev
230193438.998.998	derailed	1	5	5	0.77587414	0.242935802	True	dev
230840298.7670.7670	civil	0	7	0	0.0	0.0	False	dev
231731659.3214.3214	civil	0	4	4	0.23754409	0.08913694375	True	dev
232095869.2603.2603	derailed	1	11	0	0.0	0.0	False	dev
234055511.47191.47191	civil	0	6	0	0.0	0.0	False	dev
235454922.171854.171854	derailed	1	7	0	0.0	0.0	False	dev
235881562.3183.3183	civil	0	7	0	0.0	0.0	False	dev
23619937.12859.12924	derailed	1	4	4	0.6305835999999999	0.2346336275	True	dev
238492210.10461.10461	civil	0	7	0	0.0	0.0	False	dev
240212933.66139.66139	derailed	1	10	0	0.0	0.0	False	dev
242190235.3043.3043	derailed	1	11	11	0.9908853	0.17357314554545455	True	dev
242353492.15502.15502	civil	0	5	5	0.0	0.0	True	dev
243147704.30501.30501	civil	0	4	4	0.027936599445203547	0.017806371315047722	True	dev
244720905.55312.55312	derailed	1	6	0	0.0	0.0	False	dev
246036898.35970.35970	derailed	1	9	0	0.0	0.0	False	dev
246179143.18146.18146	civil	0	6	0	0.0	0.0	False	dev
250215222.88739.88739	civil	0	8	0	0.0	0.0	False	dev
251630183.1918.1918	civil	0	4	4	0.08779131	0.05440555175	True	dev
25365808.118071.118071	derailed	1	7	0	0.0	0.0	False	dev
254828333.15390.15390	derailed	1	8	0	0.0	0.0	False	dev
256451806.207.207	civil	0	6	0	0.0	0.0	False	dev
257264549.20881.20881	civil	0	7	0	0.0	0.0	False	dev
257648331.3145.3145	derailed	1	11	0	0.0	0.0	False	dev
257898162.8832.8832	derailed	1	4	4	0.7350197807715791	0.23748690749160029	True	dev
258462087.78844.78601	derailed	1	6	0	0.0	0.0	False	dev
2586406.3018.3013	civil	0	7	0	0.0	0.0	False	dev
259357785.3023.3023	civil	0	6	6	0.07409615	0.032976619000000006	True	dev
262628360.24230.24230	civil	0	6	0	0.0	0.0	False	dev
263251789.19204.19204	civil	0	6	0	0.0	0.0	False	dev
263276775.2860.2860	civil	0	12	12	0.36504474	0.13385438908333333	True	dev
26336706.108812.108812	derailed	1	10	0	0.0	0.0	False	dev
26358264.26916.26916	derailed	1	7	0	0.0	0.0	False	dev
266833866.5363.5363	civil	0	7	7	0.10344750952313543	0.03853170115152803	True	dev
266998378.20922.20922	civil	0	6	0	0.0	0.0	False	dev
268018308.7664.7664	civil	0	4	4	0.0	0.0	True	dev
26803454.53755.53755	derailed	1	9	0	0.0	0.0	False	dev
268160746.173678.173678	civil	0	7	0	0.0	0.0	False	dev
268199189.72921.72921	civil	0	6	0	0.0	0.0	False	dev
268780293.3361.3361	civil	0	4	4	0.14417366391779002	0.057812507725399656	True	dev
269668743.30681.30681	civil	0	7	0	0.0	0.0	False	dev
269794336.41085.41085	derailed	1	11	0	0.0	0.0	False	dev
27097866.7157.7157	derailed	1	8	0	0.0	0.0	False	dev
271057420.29079.29079	derailed	1	7	7	0.7347471999999999	0.16110935557142855	True	dev
272501287.145152.145152	derailed	1	8	0	0.0	0.0	False	dev
274962123.18124.18124	civil	0	9	0	0.0	0.0	False	dev
275528681.90230.90230	civil	0	7	0	0.0	0.0	False	dev
27556700.111.113	civil	0	6	0	0.0	0.0	False	dev
276323536.89495.89495	civil	0	7	0	0.0	0.0	False	dev
277032076.32695.32710	civil	0	9	0	0.0	0.0	False	dev
278549812.12666.12666	derailed	1	9	0	0.0	0.0	False	dev
278765498.27104.27104	derailed	1	5	5	0.0	0.0	True	dev
27907560.6923.6923	derailed	1	8	0	0.0	0.0	False	dev
27909300.43483.43483	civil	0	4	4	0.11330514	0.0651018975	True	dev
279233642.65874.65874	civil	0	7	0	0.0	0.0	False	dev
28259651.41082.41082	derailed	1	11	0	0.0	0.0	False	dev
282945883.108975.108975	civil	0	8	0	0.0	0.0	False	dev
284167801.16543.16543	derailed	1	5	5	0.6094706999999999	0.217907264	True	dev
285042554.41984.41984	derailed	1	8	0	0.0	0.0	False	dev
28570760.58777.58777	civil	0	6	0	0.0	0.0	False	dev
286749102.51492.51492	civil	0	11	0	0.0	0.0	False	dev
28686217.67028.67028	civil	0	9	0	0.0	0.0	False	dev
288466917.71301.71301	derailed	1	8	0	0.0	0.0	False	dev
290597204.9278.9278	civil	0	6	0	0.0	0.0	False	dev
2913971.21571.21571	civil	0	6	0	0.0	0.0	False	dev
291658428.29791.29791	derailed	1	8	0	0.0	0.0	False	dev
293910846.65056.65056	civil	0	8	0	0.0	0.0	False	dev
295226329.18053.18053	civil	0	7	0	0.0	0.0	False	dev
297033823.130053.130053	derailed	1	8	0	0.0	0.0	False	dev
299829260.2815.2815	civil	0	4	4	0.050217446	0.019674493	True	dev
30066719.7788.7788	civil	0	5	5	0.23754409	0.13743531199999998	True	dev
300720418.46203.46203	derailed	1	7	0	0.0	0.0	False	dev
301618123.19649.19649	derailed	1	5	5	0.9615087	0.375452748	True	dev
302451722.17861.17861	civil	0	5	5	0.20418563	0.110710432	True	dev
302714950.48719.48719	derailed	1	7	0	0.0	0.0	False	dev
3031802.21943.21943	civil	0	8	0	0.0	0.0	False	dev
303236895.126939.126761	derailed	1	10	0	0.0	0.0	False	dev
30361704.1760.1760	derailed	1	11	0	0.0	0.0	False	dev
303868524.4308.4308	derailed	1	10	0	0.0	0.0	False	dev
304181779.2394.2394	derailed	1	5	5	0.69953084	0.16631797539999998	True	dev
306576529.343728.343728	derailed	1	10	0	0.0	0.0	False	dev
306833188.16520.16520	civil	0	3	3	0.04047763218818089	0.029171967505880688	True	dev
308115368.153644.153644	derailed	1	7	0	0.0	0.0	False	dev
308212225.20117.20117	civil	0	7	0	0.0	0.0	False	dev
309466580.6631.6630	civil	0	3	3	0.2365657258273911	0.10168836513138245	True	dev
311246875.27.27	derailed	1	3	3	0.644523548297	0.22706200073066096	True	dev
31155802.107911.107911	civil	0	6	0	0.0	0.0	False	dev
31254071.3384.3384	derailed	1	7	0	0.0	0.0	False	dev
31546988.15224.15224	civil	0	7	0	0.0	0.0	False	dev
317756006.1189.1189	derailed	1	11	0	0.0	0.0	False	dev
318316553.37084.37084	derailed	1	7	0	0.0	0.0	False	dev
318394814.36482.36482	civil	0	4	4	0.0	0.0	True	dev
32027471.461.461	derailed	1	6	0	0.0	0.0	False	dev
321528509.87053.87053	civil	0	6	0	0.0	0.0	False	dev
