document_id	genre	corpus	split	label	label_binary	total_clauses	meta_has_derailed	meta_max_toxicity	meta_mean_toxicity	meta_num_turns	meta_genre_description	meta_num_words	present-simple-indicative-active	present-simple-indicative-passive	present-simple-subjunctive-active	present-simple-subjunctive-passive	present-simple-imperative-active	present-simple-imperative-passive	present-simple-conditional-active	present-simple-conditional-passive	present-simple-modal-active	present-simple-modal-passive	present-progressive-indicative-active	present-progressive-indicative-passive	present-progressive-subjunctive-active	present-progressive-subjunctive-passive	present-progressive-imperative-active	present-progressive-imperative-passive	present-progressive-conditional-active	present-progressive-conditional-passive	present-progressive-modal-active	present-progressive-modal-passive	present-perfect-indicative-active	present-perfect-indicative-passive	present-perfect-subjunctive-active	present-perfect-subjunctive-passive	present-perfect-imperative-active	present-perfect-imperative-passive	present-perfect-conditional-active	present-perfect-conditional-passive	present-perfect-modal-active	present-perfect-modal-passive	present-perfect-progressive-indicative-active	present-perfect-progressive-indicative-passive	present-perfect-progressive-subjunctive-active	present-perfect-progressive-subjunctive-passive	present-perfect-progressive-imperative-active	present-perfect-progressive-imperative-passive	present-perfect-progressive-conditional-active	present-perfect-progressive-conditional-passive	present-perfect-progressive-modal-active	present-perfect-progressive-modal-passive	past-simple-indicative-active	past-simple-indicative-passive	past-simple-subjunctive-active	past-simple-subjunctive-passive	past-simple-imperative-active	past-simple-imperative-passive	past-simple-conditional-active	past-simple-conditional-passive	past-simple-modal-active	past-simple-modal-passive	past-progressive-indicative-active	past-progressive-indicative-passive	past-progressive-subjunctive-active	past-progressive-subjunctive-passive	past-progressive-imperative-active	past-progressive-imperative-passive	past-progressive-conditional-active	past-progressive-conditional-passive	past-progressive-modal-active	past-progressive-modal-passive	past-perfect-indicative-active	past-perfect-indicative-passive	past-perfect-subjunctive-active	past-perfect-subjunctive-passive	past-perfect-imperative-active	past-perfect-imperative-passive	past-perfect-conditional-active	past-perfect-conditional-passive	past-perfect-modal-active	past-perfect-modal-passive	past-perfect-progressive-indicative-active	past-perfect-progressive-indicative-passive	past-perfect-progressive-subjunctive-active	past-perfect-progressive-subjunctive-passive	past-perfect-progressive-imperative-active	past-perfect-progressive-imperative-passive	past-perfect-progressive-conditional-active	past-perfect-progressive-conditional-passive	past-perfect-progressive-modal-active	past-perfect-progressive-modal-passive	future-simple-indicative-active	future-simple-indicative-passive	future-simple-subjunctive-active	future-simple-subjunctive-passive	future-simple-imperative-active	future-simple-imperative-passive	future-simple-conditional-active	future-simple-conditional-passive	future-simple-modal-active	future-simple-modal-passive	future-progressive-indicative-active	future-progressive-indicative-passive	future-progressive-subjunctive-active	future-progressive-subjunctive-passive	future-progressive-imperative-active	future-progressive-imperative-passive	future-progressive-conditional-active	future-progressive-conditional-passive	future-progressive-modal-active	future-progressive-modal-passive	future-perfect-indicative-active	future-perfect-indicative-passive	future-perfect-subjunctive-active	future-perfect-subjunctive-passive	future-perfect-imperative-active	future-perfect-imperative-passive	future-perfect-conditional-active	future-perfect-conditional-passive	future-perfect-modal-active	future-perfect-modal-passive	future-perfect-progressive-indicative-active	future-perfect-progressive-indicative-passive	future-perfect-progressive-subjunctive-active	future-perfect-progressive-subjunctive-passive	future-perfect-progressive-imperative-active	future-perfect-progressive-imperative-passive	future-perfect-progressive-conditional-active	future-perfect-progressive-conditional-passive	future-perfect-progressive-modal-active	future-perfect-progressive-modal-passive
101988830.174339.174339	cga_civil	cga_wiki	dev	civil	0	314	False	0.0	0.0	8.0			0.5828025477707006	0.0700636942675159	0.0159235668789808	0.0031847133757961	0.0445859872611464	0.0	0.0764331210191082	0.0063694267515923	0.0	0.0	0.0095541401273885	0.0031847133757961	0.0031847133757961	0.0	0.0	0.0	0.0031847133757961	0.0063694267515923	0.0	0.0	0.0318471337579617	0.0063694267515923	0.0031847133757961	0.0	0.0	0.0	0.0031847133757961	0.0031847133757961	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0955414012738853	0.0063694267515923	0.0	0.0	0.0	0.0	0.0063694267515923	0.0	0.0	0.0	0.0095541401273885	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0031847133757961	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0031847133757961	0.0	0.0	0.0	0.0	0.0	0.0031847133757961	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
102857409.67168.67168	cga_civil	cga_wiki	dev	civil	0	101	False	0.0	0.0	9.0			0.495049504950495	0.0495049504950495	0.0495049504950495	0.0	0.0396039603960396	0.0	0.1287128712871287	0.0	0.0	0.0	0.0198019801980198	0.0	0.0	0.0	0.0	0.0	0.0198019801980198	0.0	0.0	0.0	0.0594059405940594	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0792079207920792	0.0	0.0	0.0	0.0	0.0	0.0198019801980198	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0396039603960396	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
103044830.207.207	cga_derailed	cga_wiki	dev	derailed	1	27	True	0.0	0.0	7.0			0.3703703703703703	0.0	0.037037037037037	0.074074074074074	0.1111111111111111	0.0	0.1481481481481481	0.0	0.0	0.0	0.1111111111111111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.074074074074074	0.0	0.0	0.0	0.0	0.0	0.074074074074074	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
103587368.2010.2010	cga_civil	cga_wiki	dev	civil	0	36	False	0.0498263005836593	0.0187429893109154	5.0			0.6111111111111112	0.0277777777777777	0.0555555555555555	0.0	0.0555555555555555	0.0	0.0	0.0	0.0	0.0	0.0555555555555555	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0277777777777777	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
104033285.691.691	cga_derailed	cga_wiki	dev	derailed	1	49	True	0.769447467650093	0.2208724047526467	7.0			0.3469387755102041	0.0408163265306122	0.1224489795918367	0.0408163265306122	0.0612244897959183	0.0	0.0408163265306122	0.0	0.0	0.0	0.0408163265306122	0.0204081632653061	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0204081632653061	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1836734693877551	0.0204081632653061	0.0	0.0	0.0	0.0	0.0612244897959183	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10413611.96462.96462	cga_civil	cga_wiki	dev	civil	0	65	False	0.0	0.0	7.0			0.4461538461538462	0.0769230769230769	0.0	0.0153846153846153	0.0307692307692307	0.0	0.1076923076923077	0.0153846153846153	0.0	0.0	0.0307692307692307	0.0	0.0	0.0	0.0	0.0	0.0307692307692307	0.0	0.0	0.0	0.0	0.0307692307692307	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.123076923076923	0.0	0.0	0.0	0.0	0.0	0.0769230769230769	0.0153846153846153	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10414252.98811.98811	cga_derailed	cga_wiki	dev	derailed	1	75	True	0.0	0.0	7.0			0.6	0.04	0.0	0.0	0.08	0.0	0.08	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0133333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0933333333333333	0.0	0.0	0.0	0.0	0.0	0.0133333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
104884181.36843.36843	cga_civil	cga_wiki	dev	civil	0	80	False	0.0	0.0	6.0			0.625	0.0125	0.0375	0.0	0.0125	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025	0.0	0.0	0.0	0.0	0.0	0.025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0125	0.0	0.0	0.0	0.075	0.0	0.0	0.0	0.0	0.0	0.0625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
104887604.5394.5394	cga_civil	cga_wiki	dev	civil	0	26	False	0.0452040712379086	0.0284839731393507	5.0			0.3076923076923077	0.0769230769230769	0.0384615384615384	0.0	0.0384615384615384	0.0	0.1153846153846153	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0384615384615384	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2692307692307692	0.0384615384615384	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0384615384615384	0.0	0.0	0.0	0.0	0.0	0.0	0.0384615384615384	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10637415.35440.35440	cga_civil	cga_wiki	dev	civil	0	61	False	0.0	0.0	9.0			0.6065573770491803	0.0491803278688524	0.0983606557377049	0.0	0.0327868852459016	0.0	0.0163934426229508	0.0	0.0	0.0	0.0327868852459016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0327868852459016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1311475409836065	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
